Weapon,R1,R2,R3,R4,R5
PJWS (Stacked),599991.300497856,616987.5710171938,634214.108205013,651670.9120613124,669357.9825860931
PJWS,586581.8068464642,600203.2561637729,613995.2431608418,627957.7678376699,642090.8301942582
Homa (50%),613528.5727859034,631373.4198134942,650182.689439039,669956.3816625375,690694.4964839901
Homa,575546.8605778583,584348.7312669096,593632.8132549374,603399.1065419427,613647.6111279244
"Vortex (Shielded, Stacked)",562874.8770589227,577290.980173677,591707.0832884313,606123.1864031854,620539.2895179396
"Vortex (Shielded, Unstacked)",558803.4335692265,572201.6758115567,585599.918053887,598998.1602962173,612396.4025385474
CalamityQueller (Stacked),561559.4239145214,577073.2441926019,592793.1908701144,608719.2639470587,624851.4634234357
CalamityQueller (Unstacked),556354.783510831,570450.5411777353,584705.6642399699,599120.1526975351,613694.0065504314
"Vortex (Unshielded, Stacked)",534042.6708294139,541250.722386791,548458.7739441682,555666.8255015453,562874.8770589227
"Vortex (Unshielded, Unstacked)",532006.949084566,538706.070205731,545405.1913268962,552104.3124480612,558803.4335692265
StaffOfTheScarletSands,559288.3839628366,559288.3839628366,559288.3839628366,559288.3839628366,559288.3839628366
SkywardSpine,480089.51646340697,486813.5716822545,493537.62690110266,500493.4156095064,507531.09054772765
EngulfingLightning,464317.2215960106,473713.51715729985,483807.2680985756,494598.47441983846,506087.1361210886
Lithic (4 Stacks),540443.4056783535,561924.4364074351,583836.6746580142,606746.5173177237,630066.1604850128
Lithic (3 Stacks),519134.1455476032,534455.5522530143,550384.8052862996,566594.8491166629,583118.489229975
Lithic (2 Stacks),498253.1789007116,508243.1058318216,518314.61247414263,528467.6988276751,538951.9050497211
Lithic (1 Stacks),478082.26305523067,482803.68248551886,487586.48339075985,492510.06460900547,497454.04075505363
Deathmatch (1 Opponent),535349.0096700762,544699.8326694357,554050.655668795,563401.4786681543,572752.3016675138
Deathmatch (2+ Opponents),522881.24567093037,529115.1276705032,535349.0096700762,541582.891669649,547816.773669222
Blackcliff (3 Stacks),545023.7209007654,559121.202886943,573218.6848731206,587316.166859298,601413.6488454755
Blackcliff (2 Stacks),526227.0782525288,535625.3995766472,545023.7209007654,554422.042224884,563820.3635490022
Blackcliff (1 Stacks),507430.43560429214,512129.59626635106,516828.75692841026,521527.9175904697,526227.0782525288
Blackcliff (0 Stacks),488633.7929560555,488633.7929560555,488633.7929560555,488633.7929560555,488633.7929560555
MissiveWindspear (On),472703.3475824938,476585.3939039095,480467.4402253248,484349.4865467405,488231.5328681563
MissiveWindspear (Off),457175.1622968311,457175.1622968311,457175.1622968311,457175.1622968311,457175.1622968311
WavebreakersFin,457528.4618005858,457528.4618005858,457528.4618005858,457528.4618005858,457528.4618005858
FavoniusLance,420526.2290624751,420526.2290624751,420526.2290624751,420526.2290624751,420526.2290624751
PrototypeStarglitter,403667.6238333187,403667.6238333187,403667.6238333187,403667.6238333187,403667.6238333187
WhiteTassel,435606.84795291553,435606.84795291553,435606.84795291553,435606.84795291553,435606.84795291553
